StemUrn,LexicalEntity,StemString,InflClass,Tags
lsjpool.n10921_0,lexent.n10921,:de:a)^nu^,reg_conj,
lsjpool.n10924_0,lexent.n10924,:de:a)nwg,reg_conj,
lsjpool.n10924_0,lexent.n10924,:de:a)nwg,e_stem,
lsjpool.n11072_0,lexent.n11072,:de:a)ci,ow_denom,
lsjpool.n11107_0,lexent.n11107,:de:a)oid,iaw_denom,
lsjpool.n11128_0,lexent.n11128,:de:a)oll,izw,
lsjpool.n11154_0,lexent.n11154,:de:a)ort,ew_denom,
lsjpool.n11163_0,lexent.n11163,:de:a)oss,ew_denom,
lsjpool.n11204_0,lexent.n11204,:de:a)p-agxon,izw,
lsjpool.n11225_0,lexent.n11225,:de:a)p-aigeir,ow_denom,
lsjpool.n11240_0,lexent.n11240,:de:a)paiol,aw_denom,
lsjpool.n11336_0,lexent.n11336,:de:a(pa^l,unw,
lsjpool.n11602_0,lexent.n11602,:de:a)pa^t,aw_denom,
lsjpool.n11602_0,lexent.n11602,:de:a)pa^t,ew_denom,
lsjpool.n11651_0,lexent.n11651,:de:au)r,a_stem,
lsjpool.n11662_0,lexent.n11662,:de:a)paf,e_suppl,
lsjpool.n11662_0,lexent.n11662,:de:a)pa^fi,skw,
lsjpool.n11687_0,lexent.n11687,:de:a)peiq,ew_denom,
lsjpool.n11700_0,lexent.n11700,:de:a)peil,ew_denom,
lsjpool.n11827_0,lexent.n11827,:de:a)pell,azw,
lsjpool.n12110_0,lexent.n12110,:de:a)pi^q,ew_denom,
lsjpool.n12110_0,lexent.n12110,:de:a)pi^q,ew_denom,
lsjpool.n12121_0,lexent.n12121,:de:a)pi^nu,ss,
lsjpool.n12133_0,lexent.n12133,:de:a)pist,ew_denom,
lsjpool.n12222_0,lexent.n12222,:de:a(pl,ow_denom,
lsjpool.n12701_0,lexent.n12701,:de:a)poin,aw_denom,
lsjpool.n13028_0,lexent.n13028,:de:lau,reg_conj,
lsjpool.n13815_0,lexent.n13815,:de:a)posta^t,ew_denom,
lsjpool.n13991_0,lexent.n13991,:de:a)potaur,ow_denom,
lsjpool.n14142_0,lexent.n14142,:de:a)potrwp,aw_denom,
lsjpool.n14394_0,lexent.n14394,:de:a)prakt,ew_denom,
lsjpool.n14568_0,lexent.n14568,:de:a(,ptw,
lsjpool.n14646_0,lexent.n14646,:de:a)ra^b,ew_denom,
lsjpool.n14646_0,lexent.n14646,:de:a)ra^b,izw,
lsjpool.n14702_0,lexent.n14702,:de:a)r,a_stem,
lsjpool.n14705_0,lexent.n14705,:de:a)ra^r,iskw,
lsjpool.n14705_0,lexent.n14705,:de:a)r,reg_conj,
lsjpool.n14708_0,lexent.n14708,:de:a)ra,ss,
lsjpool.n14708_0,lexent.n14708,:de:r(a,ss,
lsjpool.n14773_0,lexent.n14773,:de:a)rg,ew_denom,
lsjpool.n14828_0,lexent.n14828,:de:a)rgu^r,euw,
lsjpool.n14859_0,lexent.n14859,:de:a)rgu^ro-log,ew_denom,
lsjpool.n14916_0,lexent.n14916,:de:a)rd,euw,
lsjpool.n14924_0,lexent.n14924,:de:a)rd,reg_conj,
lsjpool.n14954_0,lexent.n14954,:de:a)^r,e_stem,
lsjpool.n14966_0,lexent.n14966,:de:a)ret,aw_denom,
lsjpool.n14975_0,lexent.n14975,:de:a)^rhg,reg_conj,
lsjpool.n15000_0,lexent.n15000,:de:a)rqm,ew_denom,
lsjpool.n15013_0,lexent.n15013,:de:a)rqr,ow_denom,
lsjpool.n15038_0,lexent.n15038,:de:a)riqm,ew_denom,
lsjpool.n15080_0,lexent.n15080,:de:a)_rist,aw_denom,
lsjpool.n15096_0,lexent.n15096,:de:a)rist,euw,
lsjpool.n15102_0,lexent.n15102,:de:a)_rist,izw,
lsjpool.n15112_0,lexent.n15112,:de:a)ristokra^t,ew_denom,
lsjpool.n15127_0,lexent.n15127,:de:a)risto-poi,ew_denom,
lsjpool.n15173_0,lexent.n15173,:de:a)rk,e_stem,
lsjpool.n15228_0,lexent.n15228,:de:a(rmat,euw,
lsjpool.n15231_0,lexent.n15231,:de:a(rmathla^t,ew_denom,
lsjpool.n15251_0,lexent.n15251,:de:a(rmato-trof,ew_denom,
lsjpool.n15274_0,lexent.n15274,:de:a(rm,ozw,
lsjpool.n15274_0,lexent.n15274,:de:a(rmo,ss,
lsjpool.n15278_0,lexent.n15278,:de:a(rmo-log,ew_denom,
lsjpool.n15310_0,lexent.n15310,:de:a)rn,ew_denom,
lsjpool.n15315_0,lexent.n15315,:de:a)rn,euw,
lsjpool.n15335_0,lexent.n15335,:de:a)r,numi,
lsjpool.n15367_0,lexent.n15367,:de:a)rotr,iaw_denom,
lsjpool.n15376_0,lexent.n15376,:de:a)rotro-for,ew_denom,
lsjpool.n15388_0,lexent.n15388,:de:a)r,o_stem,
lsjpool.n15399_0,lexent.n15399,:de:a(rp,azw,
lsjpool.n15411_0,lexent.n15411,:de:a(rpal,izw,
